Player,Age,Team,Position,Games_played,Free_Throws,Total_Rebounds,Assists,Steals,Blocks,Fouls,Points
Naz Reid,24.0,MIN,C,81.0,1.3,5.2,1.3,0.8,0.9,2.1,13.5
Cameron Johnson,27.0,BRK,PF,58.0,1.5,4.3,2.4,0.8,0.3,1.8,13.4
Corey Kispert,24.0,WAS,SF,80.0,1.4,2.8,2.0,0.5,0.2,1.8,13.4
Andrew Wiggins,28.0,GSW,SF,71.0,2.0,4.5,1.7,0.6,0.6,2.1,13.2
Keyonte George,20.0,UTA,PG,75.0,2.5,2.8,4.4,0.5,0.1,1.2,13.0
P.J. Washington,25.0,2TM,PF,73.0,1.4,5.6,1.9,1.0,0.8,2.3,12.9
P.J. Washington,25.0,CHO,PF,44.0,1.5,5.3,2.2,0.9,0.7,2.5,13.6
P.J. Washington,25.0,DAL,PF,29.0,1.1,6.2,1.5,1.2,0.9,2.0,11.7
Scotty Pippen Jr.,23.0,MEM,PG,21.0,2.0,3.2,4.7,1.7,0.5,2.9,12.9
Duncan Robinson,29.0,MIA,SF,68.0,1.2,2.5,2.8,0.7,0.2,2.4,12.9
Dillon Brooks,28.0,HOU,SF,72.0,1.7,3.4,1.7,0.9,0.1,3.3,12.7
Mark Williams,22.0,CHO,C,19.0,2.4,9.7,1.2,0.8,1.1,2.6,12.7
Jalen Suggs,22.0,ORL,SG,75.0,1.6,3.1,2.7,1.4,0.6,2.7,12.6
Jrue Holiday,33.0,BOS,PG,69.0,0.9,5.4,4.8,0.9,0.8,1.6,12.5
Brook Lopez,35.0,MIL,C,79.0,1.4,5.2,1.6,0.5,2.4,2.4,12.5
Josh Giddey,21.0,OKC,SG,80.0,1.3,6.4,4.8,0.6,0.6,1.4,12.3
Cam Whitmore,19.0,HOU,SF,47.0,1.6,3.8,0.7,0.6,0.4,1.4,12.3
Harrison Barnes,31.0,SAC,PF,82.0,1.9,3.0,1.2,0.7,0.1,1.2,12.2
Ayo Dosunmu,24.0,CHI,SG,76.0,1.1,2.8,3.2,0.9,0.5,2.2,12.2
Javonte Green,30.0,CHI,SF,9.0,1.1,7.4,0.6,1.1,0.9,2.1,12.2
Aaron Nesmith,24.0,IND,SF,72.0,1.5,3.8,1.5,0.9,0.7,3.3,12.2
Max Strus,27.0,CLE,SF,70.0,1.1,4.8,4.0,0.9,0.4,2.4,12.2
Jonas ValanÄiÅ«nas,31.0,NOP,C,82.0,2.0,8.8,2.1,0.4,0.8,2.7,12.2
Buddy Hield,31.0,2TM,SF,84.0,0.6,3.2,2.8,0.8,0.5,2.0,12.1
Buddy Hield,31.0,IND,SF,52.0,0.5,3.2,2.7,0.8,0.6,2.0,12.0
Buddy Hield,31.0,PHI,SG,32.0,0.8,3.2,3.0,0.8,0.3,2.1,12.2
Tyus Jones,27.0,WAS,PG,66.0,0.5,2.7,7.3,1.1,0.3,0.7,12.0
Jaime Jaquez Jr.,22.0,MIA,SF,75.0,1.9,3.8,2.6,1.0,0.3,2.2,11.9
Nic Claxton,24.0,BRK,C,71.0,1.5,9.9,2.1,0.6,2.1,2.5,11.8
Marvin Bagley III,24.0,2TM,C,50.0,1.9,6.2,1.1,0.4,0.7,1.6,11.7
Marvin Bagley III,24.0,DET,C,26.0,1.9,4.5,1.0,0.2,0.5,1.5,10.2
Marvin Bagley III,24.0,WAS,C,24.0,1.9,8.1,1.2,0.6,0.8,1.7,13.3
Ivica Zubac,26.0,LAC,C,68.0,1.8,9.2,1.4,0.3,1.2,2.6,11.7
Cole Anthony,23.0,ORL,PG,81.0,2.2,3.8,2.9,0.8,0.5,2.2,11.6
Jeremy Sochan,20.0,SAS,PF,74.0,1.5,6.4,3.4,0.8,0.5,2.3,11.6
Clint Capela,29.0,ATL,C,73.0,1.8,10.6,1.2,0.6,1.5,2.2,11.5
Mike Conley,36.0,MIN,PG,76.0,1.3,2.9,5.9,1.2,0.2,1.7,11.4
Malik Beasley,27.0,MIL,SG,79.0,0.3,3.7,1.4,0.7,0.1,2.0,11.3
Brandon Clarke,27.0,MEM,PF,6.0,0.2,5.3,1.5,0.8,1.0,1.3,11.3
Zach Collins,26.0,SAS,C,69.0,1.8,5.4,2.8,0.5,0.8,3.0,11.2
De'Anthony Melton,25.0,PHI,SG,38.0,1.7,3.7,3.0,1.6,0.4,2.2,11.1
Jakob Poeltl,28.0,TOR,C,50.0,1.2,8.6,2.5,0.7,1.5,3.0,11.1
Russell Westbrook,35.0,LAC,PG,68.0,1.6,5.0,4.5,1.1,0.3,1.8,11.1
Daniel Gafford,25.0,2TM,PF,74.0,1.6,7.6,1.6,0.9,2.1,3.1,11.0
Daniel Gafford,25.0,WAS,C,45.0,1.9,8.0,1.5,1.0,2.2,3.3,10.9
Daniel Gafford,25.0,DAL,PF,29.0,1.2,6.9,1.6,0.7,1.9,2.8,11.2
Wendell Carter Jr.,24.0,ORL,C,55.0,1.7,6.9,1.7,0.6,0.5,2.2,11.0
Eric Gordon,35.0,PHO,SG,68.0,0.8,1.8,2.0,1.0,0.4,1.2,11.0
Herbert Jones,25.0,NOP,SF,76.0,1.8,3.6,2.6,1.4,0.8,2.9,11.0
Luke Kennard,27.0,MEM,SG,39.0,1.0,2.9,3.5,0.5,0.1,1.0,11.0
Luguentz Dort,24.0,OKC,SF,79.0,1.6,3.6,1.4,0.9,0.6,2.9,10.9
Jusuf NurkiÄ,29.0,PHO,C,76.0,2.2,11.0,4.0,1.1,1.1,3.3,10.9
Isaiah Stewart,22.0,DET,PF,46.0,1.4,6.6,1.6,0.4,0.8,2.2,10.9
Moritz Wagner,26.0,ORL,C,80.0,2.1,4.3,1.2,0.5,0.3,2.0,10.9
Bruce Brown,27.0,2TM,SG,67.0,1.7,4.2,2.9,0.9,0.3,2.2,10.8
Bruce Brown,27.0,IND,SG,33.0,2.0,4.7,3.0,1.1,0.2,2.5,12.1
Bruce Brown,27.0,TOR,PG,34.0,1.5,3.8,2.7,0.7,0.3,2.0,9.6
Jake LaRavia,22.0,MEM,PF,35.0,2.6,3.7,1.7,0.8,0.3,2.0,10.8
Santi Aldama,23.0,MEM,PF,61.0,0.9,5.8,2.3,0.7,0.9,1.5,10.7
Simone Fontecchio,28.0,2TM,SF,66.0,0.8,3.7,1.5,0.7,0.3,1.7,10.5
Simone Fontecchio,28.0,UTA,SF,50.0,0.6,3.5,1.5,0.6,0.4,1.6,8.9
Simone Fontecchio,28.0,DET,SF,16.0,1.4,4.4,1.8,0.9,0.3,1.8,15.4
Spencer Dinwiddie,30.0,2TM,PG,76.0,2.2,2.7,4.7,0.7,0.3,1.8,10.5
Spencer Dinwiddie,30.0,BRK,PG,48.0,2.6,3.3,6.0,0.8,0.2,1.8,12.6
Spencer Dinwiddie,30.0,LAL,PG,28.0,1.6,1.7,2.4,0.5,0.5,1.9,6.8
Jaden McDaniels,23.0,MIN,SF,72.0,0.8,3.1,1.4,0.9,0.6,3.0,10.5
Alec Burks,32.0,2TM,SG,66.0,2.2,2.3,1.3,0.4,0.2,1.1,10.4
Alec Burks,32.0,DET,SG,43.0,2.8,2.6,1.6,0.5,0.3,1.5,12.6
Alec Burks,32.0,NYK,SG,23.0,1.0,1.7,0.9,0.3,0.0,0.5,6.5
Dalano Banton,24.0,2TM,PG,54.0,1.7,3.3,2.4,0.6,0.4,1.2,10.3
Dalano Banton,24.0,BOS,PG,24.0,0.7,1.5,0.8,0.2,0.1,0.8,2.3
